sentence1	sentence2	gold_label
A girl in purple doing the hurdles at a track event.	The girl competing in the long jump.	contradiction
A man walks between buildings.	A man walks through the pathway	neutral
A man runs through a forest. 	A man walks through the pathway	contradiction
A guy is practicing at the gym. 	There is no punching bag in the gym.	neutral
A guy is practicing on a punching bag at his home because there is none at the gym. 	There is no punching bag in the gym.	entailment
Two men, one with suits and ties are standing in a rodeo ring while some men look on from outside the ring.	the men in the ring are dressed as cowboys and are very happy	contradiction
A couple of men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.	the men in the ring are dressed as cowboys and are very happy	entailment
"A boy stands outside of ""TheFaceShop"" looking inside, while a man leans against the corner of the store."	A boy is window shopping.	neutral
"A boy stands outside of ""TheFaceShop"" looking at a poster, while a man leans against the corner of the store."	A boy is window shopping.	contradiction
Two women in a whirlpool with towels on the heads laughing despite their sadness.	Two sad women in a whirlpool with towels on the heads laughing.	entailment
Two women in a whirlpool with towels on the heads laughing joyfully.	Two sad women in a whirlpool with towels on the heads laughing.	contradiction
A middle-aged person ironing in a messy room.	A woman ironing in a messy room.	neutral
A middle-aged man ironing in a messy room.	A woman ironing in a messy room.	contradiction
Female painter is creating a sculpture with three people watching her.	A woman is carving a sculpture.	entailment
A famous female painter is performing art with three people watching her.	A woman is carving a sculpture.	neutral
Food is being served outside of a  hut.	Vending near large building.	contradiction
Food is being served outside.	Vending near large building.	neutral
A man holding a man.	A man is holding his wife.	neutral
A man holding his newly wed wife.	A man is holding his wife.	entailment
hockey match in last quarter with a couple of men fighting	The hockey game is drawing to a close and the frustrations boiled over into a fight.	entailment
hockey match with couple of men cheering	The hockey game is drawing to a close and the frustrations boiled over into a fight.	contradiction
Three young men singing in front of a semi-circled crowd.	Three young men are singing in front of a crowd.	entailment
Three young friends singing in front of a semi-circled crowd.	Three young men are singing in front of a crowd.	neutral
The opposing baseball player is making a pitch over the catcher.	The opposing basketball player is attempting to score	contradiction
The opposing tall basketball player is making a hook shot over the defender.	The opposing basketball player is attempting to score	neutral
Men at opposite ends of a store waiting to check out.	there are some people outside in this picture	contradiction
Men at opposite ends of a streetcar, waiting.	there are some people outside in this picture	neutral
Two men in safety hats and masks sorting through clean rags at a factory.	Two sad men in safety hats and masks sorting through soiled rags at a factory.	contradiction
Two crying men in safety hats and masks sorting through soiled rags at a factory.	Two sad men in safety hats and masks sorting through soiled rags at a factory.	entailment
A woman in a white tank top brushes her hair from her eyes as she looks in the mirror.	Two people are having a conversation.	contradiction
A woman in a white tank top brushes her hair from her eyes as she looks at the man in the gray shirt.	Two people are having a conversation.	neutral
a woman cleaning pots in a body of water as her son washes produce nearby.	boy washing fruit in a stream	neutral
a woman cleaning pots in water as her young son washes berries in the stream.	boy washing fruit in a stream	entailment
A large black gorilla peers down at a group of old people from above while the peer inside his enclosure from below.	The gorilla is above the young people.	contradiction
A large black gorilla peers down at a group of people from above while the peer inside his enclosure from below.	The gorilla is above the young people.	neutral
People are walking down a flight of stairs in the building.	People are outdoors.	contradiction
People are walking together.	People are outdoors.	neutral
People shopping in an open market.	People buying produce in an outdoor market	neutral
People shopping inside a clothing store.	People buying produce in an outdoor market	contradiction
Man in plaid shirt scaling snowy rocks by a woman using skis.	A woman is skiing.	entailment
Man in plaid shirt scaling snowy rocks by a woman using poles.	A woman is skiing.	neutral
A young boy walks to school	A little kid walks to school.	entailment
A young boy walks on the road.	A little kid walks to school.	neutral
Two men are standing outdoors on a sunny day holding pieces of a small grill, while one of the men studies the assembly instructions, to prepare a barbeque.	Two men are getting ready for a cookout.	entailment
Two men are standing indoors on a cold day, holding pieces of a new item, possibly a grill, while one studies the instructions for assembly.	Two men are getting ready for a cookout.	contradiction
A man is standing next to a couch in the room while watching football.	A male watching football on TV.	entailment
A man standing next to a car in the street speaking to the driver.	A male watching football on TV.	neutral
three children are watching tv.	Humans watching a movie.	neutral
three children are watching the news.	Humans watching a movie.	contradiction
A person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a scooter.	A person has on a helmet, a shirt, and is outside using a skateboard.	contradiction
A tall person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a skateboard.	A person has on a helmet, a shirt, and is outside using a skateboard.	neutral
A group of boys sits and two are smiling while one makes a face. 	Three boys sitting near the sidewalk.	neutral
Only one boy sits near the sidewalk, and he is smiling. 	Three boys sitting near the sidewalk.	contradiction
People with their back to the camera walk down into the wilderness.	The people are walking through a desert.	neutral
People with their back to the camera walk down a desert.	The people are walking through a desert.	entailment
A group of high school students are entering a building to be admitted to class.	Nobdoy is waiting	entailment
A group of short high school students are outside a building.	Nobdoy is waiting	neutral
A man in a striped sweater with chalk explains on a small rectangular chalkboard.	A man writes.	neutral
A man in a striped sweater reads a small rectangular chalkboard.	A man writes.	contradiction
An African American boy jumps in the game.	A boy plays basketball.	neutral
An African American boy jumps towards the hoop with the basketball.	A boy plays basketball.	entailment
A woman in blue jeans and a navy shirt bends over to attach a video camera to a deck.	The woman is preparing to shoot a video.	entailment
A woman in blue jeans and a navy shirt bends over to fetch the guacamole to eat.	The woman is preparing to shoot a video.	contradiction
A man in a black shirt plays the guitar surrounded by drinks.	The man is skilled at playing	entailment
A man in a black shirt plays the guitar horribly surrounded by drinks. 	The man is skilled at playing	contradiction
A woman scantily dressed in a tribal green and blue costume dances in a Broadway musical while onlookers watch.	A woman is dancing in a parade.	contradiction
A woman scantily dressed in a tribal green and blue costume dances while onlookers watch.	A woman is dancing in a parade.	neutral
An Xbox match is being played between two boys, in which one man in a green jersey is being lifted up by his teammates with the ball, while a competitor in a red jersey is similarly lifted to tackle him.	Boys are playing videogames	entailment
A rugby game being played, the star player in a green jersey is being lifted up by his teammates with the ball, while a competitor in a red jersey is similarly lifted to tackle him.	Boys are playing videogames	neutral
A girl in a white tank top with a guitar.	A girl in a white tank top looks around the store.	neutral
A girl in a white tank top with a guitar in looks at various red Chevelles in the store.	A girl in a white tank top looks around the store.	entailment
A shaven head young man wears headphones with metal music playing and works with a mixing board.	The man is listening to metal	entailment
A shaven head young man wears headphones and works with a mixing board while listening to country music.	The man is listening to metal	contradiction
An animal is running	An animal is outside running	neutral
A black and white dog sleeps on soft green grass.	An animal is outside running	contradiction
The boy with the blue jean shorts on is playing with the two girls.	A girls plays with her two brothers.	contradiction
The girl with the jean shorts on is playing with her two baby brothers.	A girls plays with her two brothers.	entailment
A person, wearing a costume with many flowers, is standing in the lobby of the building trying to get the attention of people passing by.	A person stands on a sidewalk.	contradiction
A person, wearing a costume with many flowers, is trying to get the attention of people passing by.	A person stands on a sidewalk.	neutral
A woman dressed for the cold  is sewing on her machine.	The woman is wearing a sweater.	neutral
A woman in a brown bikini is sewing on her machine.	The woman is wearing a sweater.	contradiction
A woman in a black dress, stands alone, looking out to the beach	A woman in a black dress, stands alone, looking out to a big city.	contradiction
A woman in a black dress, stands alone, looking out the window to a big city.	A woman in a black dress, stands alone, looking out to a big city.	entailment
A man sitting in the sand along the shore while holding something in his hand.	The man is jumping to avoid jellyfish.	contradiction
A man jumping in the sand to not step on jellyfish while holding something in his hand.	The man is jumping to avoid jellyfish.	entailment
Several college buddies socialize under a tent.	A bunch of guys are having a party.	neutral
Several women socialize in a kitchen. 	A bunch of guys are having a party.	contradiction
A competition with a small crowd sleeping.	The people are watching	contradiction
A competition with a crowd watching.	The people are watching	entailment
Physically challenged men in wheelchairs engaging in an eating contest.	A man in a wheelchair plays basketball.	contradiction
Physically challenged men in wheelchair play basketball.	A man in a wheelchair plays basketball.	entailment
A girl stands on a street with a homemade 'lemonade' sign.	A girl holds a sign for lemonade.	entailment
A girl stands on a street with a homemade sign.	A girl holds a sign for lemonade.	neutral
A nun rides her horse while speaking to a man in while robes.	A nun rides a horse.	entailment
A nun sits on a horse while speaking to a man in while robes.	A nun rides a horse.	neutral
A female gymnast wearing a blue leotard is reaching backwards.	A lady is preparing a speech.	neutral
A female gymnast wearing a blue leotard is editing her speech.	A lady is preparing a speech.	entailment
A clown is wearing a yellow sequin jacket and holding a trumpet for a crowd outside.	A clown is outdoors performing for a crowd	entailment
A clown is wearing a yellow sequin jacket and holding a trumpet as people wander inside. 	A clown is outdoors performing for a crowd	contradiction
a man in a pink shirt herding cows in a ring	A man is hearding goats	contradiction
a man in a pink shirt herding cattle in a ring	A man is hearding goats	neutral
A little girl with a red hood and shirt is sitting with legs sprawled on a couch, her mouth open. 	the kid lounges outside	contradiction
A little girl with a red hood and shirt is sitting with legs sprawled, her mouth open. 	the kid lounges outside	neutral
Two siblings eat ice cream while sitting on a bench.	Two siblings are eating ice cream.	entailment
Only one child  eats ice cream while sitting on a bench.	Two siblings are eating ice cream.	contradiction
A girl is riding on a pony with a little girl and a woman, showing it off.	A girl is showing of her pony to others.	entailment
A girl is riding on a pony with a little girl alone in a field.	A girl is showing of her pony to others.	contradiction
A boy wearing a red swimsuit begins to slide down a water slide.	The boy's swimsuit is red.	entailment
A child wearing a red swimsuit begins to slide down a water slide.	The boy's swimsuit is red.	neutral
A woman in purple riding a brown bull, competitively.	The woman rides horses.	contradiction
A professional rider in purple riding a brown horse, competitively.	The woman rides horses.	neutral
A man playing fiddle in a purple shirt.	man plays guitar	contradiction
A man playing a musical instrument in a purple shirt.	man plays guitar	neutral
A musician is playing a keyboard in a club and it is dark.	A musician plays a keyboard in a dark club.	entailment
A musician in a black hat is playing a guitar. 	A musician plays a keyboard in a dark club.	contradiction
War protesters on curb, with pink umbrellas were writing out IMPEACH.	People were on a curb writing a word.	entailment
War protesters on a wall, with pink umbrellas spelling out IMPEACH.	People were on a curb writing a word.	contradiction
A girl swings in the park looking at a picture of a man sitting on a boat with a flag and the sunset in the background. 	A girl swings in the park.	entailment
A girl is at the park looking at a picture of a man sitting on a boat with a flag and the sunset in the background. 	A girl swings in the park.	neutral
People puzzled inside a corn maze looking for a way out. 	Some people are stuck in a corn maze	entailment
People puzzled inside a maze. 	Some people are stuck in a corn maze	neutral
two people waiting on the corner to cross the street.	Two people are waiting to cross the street.	entailment
two people waiting on the corner for their order to arrive.	Two people are waiting to cross the street.	contradiction
A man in blue jeans is depositing his paycheck at a Canadian bank.	A man is cashing his paycheck at a bank.	entailment
A man in blue jeans is depositing a check at a Canadian bank.	A man is cashing his paycheck at a bank.	neutral
A bald man with glasses is cutting into a chicken on the countertop.	A man cuts a chicken on the countertop.	entailment
A bald man with glasses is cutting into a chicken.	A man cuts a chicken on the countertop.	neutral
A boy wearing shorts, crocs, and a white shirt plays happily with a yo-yo while another boy looks at his yo-yo in the background.	He is happy	entailment
A boy wearing shorts, crocs, and a white shirt holds a yo-yo and cries while another boy looks at his yo-yo in the background.	He is happy	contradiction
A bride in a light pink dress poses for a picture with male relatives while the photographer, a man in a cream shirt with white pants fixes his camera. 	A bride is sitting with some relatives waiting for the photographer.	entailment
A bride in a light pink dress poses for a picture with mail relatives.	A bride is sitting with some relatives waiting for the photographer.	neutral
2 people wearing sunglasses with red mohawks are sitting at an ASUS keyboard.	The people are near the laptop.	contradiction
2 people wearing sunglasses with red mohawks are sitting at an ASUS device.	The people are near the laptop.	neutral
A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project with his Sony laptop.	The man is working on a laptop computer.	entailment
A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project with his smartphone.	The man is working on a laptop computer.	contradiction
"Two young men in a living room, decorated for Christmas, a ""VAIO"" notebook is the center of attention."	Three women are in the room.	contradiction
"Three elders in a living room, decorated for Christmas, a ""VAIO"" notebook is the center of attention."	Three women are in the room.	neutral
A female wearing a red jacket, cropped reddish hair, sitting on a park bench, holding a beverage glass.	The girl is wearing a red jacket	entailment
A female wearing a jacket, cropped reddish hair, sitting on a park bench, holding a beverage glass.	The girl is wearing a red jacket	neutral
Two boys are dancing while playing ball in an alley.	The boys are dancing.	entailment
Two boys are playing ball while performing choreographed moves in an alley.	The boys are dancing.	neutral
A man in a dress walks down the street.	A woman in a black coat walks in high heels	contradiction
A woman in a black coat and high heels walks down the street.	A woman in a black coat walks in high heels	entailment
People enjoying cookout food.	Many people are eating outside.	neutral
People enjoying cookout food in their dining rooms.	Many people are eating outside.	contradiction
Short man in tan shirt and brown pants looks down the fairway at the golf ball he just hit.	A man just hit a golf ball down the fairway.	neutral
Woman in tan shirt and blue pants looks down the fairway at the golf ball she just hit.	A man just hit a golf ball down the fairway.	contradiction
A 24-year-old man in a blue jacket is looking up at something.	The man is in his 30's.	contradiction
A 33-year-old man in a blue jacket is looking up at something.	The man is in his 30's.	entailment
A boat with red, white and blue sails is in the middle of the ocean.	The boat is stopping.	contradiction
A boat with red, white and blue sails is docking at the pier.	The boat is stopping.	entailment
The big white cow kicks a red ball of yarn.	The cow is covered in tangled yarn.	contradiction
The big white cow is decorated entangled in a red ball of yarn.	The cow is covered in tangled yarn.	entailment
A couple and two other women are sitting on a couch during a funeral.	Four people are at a birthday party.	contradiction
A couple and two other women are sitting on a couch during a birthday party.	Four people are at a birthday party.	entailment
The woman is wearing something around her neck but has no other visible adornments.	The woman is wearing a necklace and no jewelry you can see.	neutral
The woman is wearing a ring but has no other visible jewelry.	The woman is wearing a necklace and no jewelry you can see.	contradiction
A man writing on a postcard, while holding a photograph	a man writes on a postcard to his sister	neutral
A man writing a postcard to his sister, while holding a photograph	a man writes on a postcard to his sister	entailment
People in casual clothing walk along the street together.	People in casual attire walk along a street	entailment
People walk along the street together.	People in casual attire walk along a street	neutral
A man is posed over into a fountain.	A human leaning	neutral
A man jumps over into a fountain.	A human leaning	contradiction
Five girls are sitting on crates in a market.	Two men are relaxing.	contradiction
Two men are in a market.	Two men are relaxing.	neutral
A woman in a solid-colored dress is holding a plastic cup while gesturing with the other hand.	The dress is a single color	entailment
A woman in a sundress is holding a plastic cup while gesturing with the other hand.	The dress is a single color	neutral
Large furry dog sleeping on its dog bed.	The dog is taking a nap on the pet bed.	entailment
Large furry dog  on a dog bed.	The dog is taking a nap on the pet bed.	neutral
A rock band is performing a musical act at a stadium. 	A rock band playing an outdoor concert.	entailment
A band is packing up their musical equipment. 	A rock band playing an outdoor concert.	contradiction
A man in a hat holding a tool stands next to his dog with training equipment in a hilly area.	A man about to teach his dog tricks.	entailment
A man in a hat holding a tool stands next to a dog hitched to a sled filled with hay in a hilly area.	A man about to teach his dog tricks.	neutral
Three men draping a rope across a river.	The men put rope across the road to hang up the sign.	contradiction
Three men draping a rope across a road to hang up a sign.	The men put rope across the road to hang up the sign.	entailment
A bicycle is parked and chained to a rack in front of a shop that has a large orange sign.	A bike is chained to the bike rack outside of the shop.	entailment
A bicycle is left leaning in front of a shop that has a large orange sign.	A bike is chained to the bike rack outside of the shop.	contradiction
The skier in the green jacket and white pants appears to almost fly into the sky as his family laughs.	an american having a family time	neutral
The US skier in the green jacket and white pants appears to almost fly into the sky as his family laughs joyfully.	an american having a family time	entailment
A young couple playfully playing near the train tracks.	Two people in a subway station.	neutral
A young couple playfully playing in the park.	Two people in a subway station.	contradiction
Several children leaping into a pool.	The children leaped into a pile of leaves.	contradiction
Several children and a pile of leaves on the ground.	The children leaped into a pile of leaves.	neutral
Men are in a kitchen, two of them are sitting at the kitchen table.	People in a kitchen, with two women seated at the table.	contradiction
Women are in a kitchen, two of them are sitting at the kitchen table.	People in a kitchen, with two women seated at the table.	entailment
Many army men in a line holding guns in green uniforms walking down a concrete road for a parade with a big building in the background.	Army men march down a road in uniform for a parade.	entailment
Many policemen in a line holding guns in green suits sitting next to a concrete road with a big building in the background.	Army men march down a road in uniform for a parade.	contradiction
A dirty boat sits in water as workers tend to their jobs.	A boat in sitting in murky water	neutral
A dirty sled sits in murky water as workers tend to their jobs.	A boat in sitting in murky water	contradiction
A man with jackhammer making cement	The man is makign cement	entailment
A man with a jackhammer	The man is makign cement	neutral
A man in a suit with a wineglass in his hand is speaking to a single person at a party.	A man speaks to people at a party about his adventures in the deep south.	contradiction
A man in formal attire with a wineglass in his hand is speaking to a group of people at a party about his adventures in tennesse.	A man speaks to people at a party about his adventures in the deep south.	entailment
A shaggy black and white dog is sleeping on the grass.	they are talking loud	contradiction
A shaggy black and white dog is barking loudly on the grass.	they are talking loud	entailment
A man in a top hat is playing the accordion.	A man is performing on the sidewalk.	neutral
A man in a top hat is playing the accordion in a stadium.	A man is performing on the sidewalk.	contradiction
A person is about to roll the bowling ball attempting to hit bowling pins, but misses.	Someone is bowling a perfect game.	contradiction
A person rolls the bowling ball to hit bowling pins and scores 300.	Someone is bowling a perfect game.	entailment
One African American man is looking at a person	The man is looking at a person.	entailment
One African American man is looking at something.	The man is looking at a person.	neutral
A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background preparing for an evening concert.	The three musicians are preparing for a live performance later that evening.	entailment
A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background at a concert.	The three musicians are preparing for a live performance later that evening.	contradiction
A woman in a blue coat issues tickets along a sidewalk, in front of a subway sign.	A woman heading home.	contradiction
A woman in a blue coat walks home along a sidewalk, in front of a subway sign.	A woman heading home.	entailment
The woman in the red jacket looks as if she was buying some roses from the open air vendor.	The woman is buying a beautiful bunch of roses from a street vendor.	entailment
The woman in the red jacket looks as if she was buying some stationery from the open air vendor.	The woman is buying a beautiful bunch of roses from a street vendor.	contradiction
Two men are at odds with each other and in the midst of a fight while another man stands in the back watching.	The men are on the same team.	neutral
Two men on a sports team are at odds with each other and in the midst of a fight while another man is watching.	The men are on the same team.	entailment
Man pushing something with personal items.	A man pushes a cart.	neutral
Man pushing his car with personal items.	A man pushes a cart.	contradiction
A boat sails in rough water with many passengers on board. 	Rough water with a boat sailing through it	neutral
The boat sits in the tranquil water.	Rough water with a boat sailing through it	contradiction
Many people are leading a giant blown up figure down a street. 	The blow-up figure is Karl Marx.	neutral
Many people are leading a giant blown up figure of Karl Max down a street.	The blow-up figure is Karl Marx.	entailment
a group of people sitting on the benches near the sidewalk	People are sitting on a sidewalk.	contradiction
a group of people  on the sidewalk	People are sitting on a sidewalk.	neutral
Two asian men are dropping a partially filled trash bag, smiling.	Men drop trash.	entailment
Two asian men are dropping trash bag, smiling.	Men drop trash.	neutral
A man with a peach colored shirt leaning against a wall talking to a woman in a red skirt.	Bob was wearing his peach colored tshirt while talking to a long braided hair lady.	neutral
A man with an orange colored shirt leaning against a wall talking to a woman in a red skirt with long braided hair.	Bob was wearing his peach colored tshirt while talking to a long braided hair lady.	contradiction
A baseball player is going across home plate in order to score a run for his team.	Nobody is sliding.	neutral
A baseball player is jumping across home plate in order to score a run for his team.	Nobody is sliding.	entailment
Several bikers are going down one side of a four lane road while passing farms that seem to be composed mostly of shades of brown and peach.	A group of bikers are riding down a road past some buildings.	contradiction
Several bikers are going down one side of a four lane road while passing structures that seem to be composed mostly of shades of brown and peach.	A group of bikers are riding down a road past some buildings.	neutral
A woman in a blue shirt is laughing at her sister in a black shirt outside, as people are sitting and standing all around them.	Two sisters tell each other jokes in public.	entailment
A man in a blue shirt is laughing with a man in a black shirt outside, as people are sitting and standing all around them.	Two sisters tell each other jokes in public.	contradiction
A fluffy, white dog running in the snow after a ball.	A white dog is running after somebody.	contradiction
A fluffy, white dog running in the snow after a man.	A white dog is running after somebody.	entailment
A cat is trying to catch a treat in its mouth.	The dog is expecting the treat.	contradiction
A dog is about to vomit a treat from his mouth.	The dog is expecting the treat.	neutral
Two men catch fish with a fishing net in the rain with a concrete wall behind them.	Two men are fishing in the rain.	entailment
Two men handle a fishing net with a cloudy grey sky and concrete wall behind them.	Two men are fishing in the rain.	neutral
A dog climbs down a ramp into the house	A ramp leads into a house.	entailment
