sentence1	sentence2	gold_label
A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.	A person is studying a painting of a street scene.	entailment
A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.	A person is studying a painting of a mountain scene.	contradiction
A young man with a visor and blue top has thrown a Frisbee off into the distance.	A man is throwing a frisbee.	neutral
A woman with a visor and blue top has thrown a Frisbee off into the distance.	A man is throwing a frisbee.	contradiction
A man with a visor and blue top has thrown a Frisbee off into the distance.	A man is throwing a ball.	contradiction
A man with a visor and blue top has thrown a Frisbee off into the distance.	A man is throwing a frisbee to his friend.	neutral
A musician holding a guitar videotapes some action.	A person is holding a guitar.	entailment
A musician sitting at a piano videotapes some action.	A woman is playing the piano.	neutral
A musician playing the piano videotapes some action.	A woman is playing the piano.	entailment
A musician holding a guitar videotapes some action.	A woman is holding a guitar.	neutral
Children ride a balloon ride in an amusement park.	Kids are inside their homes	contradiction
Children ride a balloon ride in an amusement park.	Kids are on expensive amusement park rides	neutral
Children on a balloon ride.	Kids are on amusement park rides	neutral
Children ride a live pony in a park.	Kids are on amusement park rides	contradiction
A young toddler wearing pink sandals is walking on hopscotch numbers.	A young girl wears shoes and walks on hopscotch numbers.	contradiction
A young toddler wearing pink sandals is walking on hopscotch numbers.	A young kid wears sandals and walks on hopscotch numbers.	entailment
A young girl wearing sneakers is walking on hopscotch numbers.	A young girl wears sandals and walks on hopscotch numbers.	contradiction
A young girl wearing sandals is walking on hopscotch numbers.	A young girl wears sandals and walks on hopscotch numbers.	entailment
A wolf moves over the snow.	The wolf is moving.	entailment
An old wolf goes over the snow.	The wolf is old.	entailment
A baby wolf moves over the snow.	The wolf is old.	contradiction
A wolf moves over the snow.	The wolf is stationary.	contradiction
A woman in a pink turtleneck adjusts her camera's settings at dinner.	The camera is getting adjusted by a pro.	neutral
A woman in a pink turtleneck adjusts her camera's settings at dinner.	The camera is getting adjusted.	entailment
A woman in a pink turtleneck tries to fix her camera.	The camera is broke.	entailment
A woman in a pink turtleneck tinkers with her camera.	The camera is broke.	neutral
A soccer player in green runs down the field.	The player in green is throwing a ball across a field.	neutral
A soccer player in green runs down the field.	The player in green is playing a violin.	contradiction
A soccer player in uniform runs down the field.	The player in green is plaing a sport.	neutral
A soccer player in red runs down the field.	The player in green is plaing a sport.	contradiction
A man holding the Texas flag is laying down.	The man is laying on his bed.	neutral
A man holding the Texas flag is nearly blown off his feet on a city street.	The latino man is holding the flag.	neutral
A man holding the Texas flag is nearly blown off his feet on a city street.	The man is holding the Texas flag.	entailment
A man holding the Texas flag is laying in bed.	The man is laying on his bed.	entailment
People on stilts in a parade.	A child is performing in a play.	contradiction
People on stilts in a parade.	Some fat people are performing in a parade.	neutral
Monkeys on stilts are performing in a parade.	Some people are performing in a parade.	contradiction
Some people are performing.	Some people are performing in a parade.	neutral
A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.	A well-dressed couple is swimming together.	contradiction
A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.	A well-dressed couple is dancing together celebrating their anniversary.	neutral
A middle-aged couple is watching tv, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.	A well-dressed couple is dancing together.	contradiction
A middle-aged couple is dancing.	A well-dressed couple is dancing together.	neutral
Bearded man playing the bass.	A man with a beard is playing the bass.	entailment
Bearded man playing a stringed instrument.	A man with a mustache is playing the piano.	entailment
Bearded man playing the bass.	A man with a mustache is playing the bass.	neutral
Bearded man playing the bass in a band.	A man with a mustache is playing the piano.	neutral
A woman dressed in black shoveling her sidewalk from the road to the stairs.	The woman shoveled a path on her sidewalk.	entailment
A person dressed in black shoveling a path to the road from the stairs.	The person shoveling a path from the stairs.	entailment
A woman dressed in black shoveling a path near the road and the stairs.	The woman shoveled a path on her sidewalk.	neutral
A person dressed in black shoveling a path to the road from the stairs.	The man shoveling a path from the stairs.	neutral
A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.	A worker is ignoring large construction equipment in motion.	contradiction
A small earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.	A worker is observing large construction equipment in motion.	contradiction
A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.	An experienced worker is observing large construction equipment in motion.	neutral
A machine creating a track with a man watching it closely with what looks like surveying equipment.	A worker is observing large construction equipment in motion.	neutral
Two men during a football game	Two men are at a Bears game.	neutral
Two men during a football game	Two men are at a baseball game.	contradiction
Two men are at a softball game. 	Two men are at a football game.	contradiction
Two friends are together at a football game. 	Two men are at a football game.	neutral
two men each wearing jackets leaning on a railing near a snowy road	Two men wearing hats stand outdoors.	neutral
Two men each wearing jackets leaning on a table near the television.	Two men stand outdoors.	contradiction
Two men each wearing jackets leaning on a railing.	Two men stand outdoors.	neutral
two men each wearing jackets leaning on a railing near a snowy road	Two men stand indoors.	contradiction
A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.	A children's choir sings Christmas songs.	neutral
A group consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.	A children's choir sings.	neutral
A choir consisting of adults dressed in blue, newer members in red, and older in black, is performing on a 2nd floor overlook.	A children's choir sings.	contradiction
A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.	A adult's choir sings.	contradiction
A lady with kind eyes and long brown hair is holding an ax by a tree.	There was no axes being held.	contradiction
A lady with kind eyes and long brown hair is holding an ax while sitting on her couch inside. 	a tree is near an ax	contradiction
A lady with kind eyes and long brown hair is holding an ax by a tree.	Several ladies were standing near the trees.	neutral
A lady with kind eyes and long brown hair is holding an ax while walking down a dirt road. 	a tree is near an ax	neutral
Young punk rock guitarist, wearing a red lined jacket with a badge, performing on a beach in sun. 	A guitarist stands in front of foggy lighting	contradiction
Young punk rock guitarist, wearing a red lined jacket with a badge, performing.	A guitarist stands in front of foggy lighting	neutral
Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.	A guitarist stands in front of dim lighting.	neutral
Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.	A guitarist stands in front of well lit area.	contradiction
A young man on rollerskates gifted by his girlfriend, in white shorts, part of a crowd watching a black man in a red shirt.	A young man is using the roller skates his grandfather gave him.	contradiction
A young man on rollerskates gifted by his grandfather, in white shorts, part of a crowd watching a black man in a red shirt.	A young man is using the roller skates his grandfather gave him.	entailment
A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.	The young man is on a skate board.	contradiction
A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.	A man is watching another man in a crowd.	entailment
Three people are standing at  a football game.	People are at a carnival.	contradiction
Three people are standing in line for a game.	People are at a carnival.	neutral
Three people are standing at a carnival game.	People are having fun.	neutral
Three people are standing at a carnival game.	People are at a funeral.	contradiction
A person rides a skateboard off of a wooden bench.	a person riding a skateboard	entailment
A person rides a skateboard off of a wooden bench.	a person riding a wooden skateboard	neutral
A person rides a bike off of a bench.	a person riding a bike	entailment
A person rides off of a bench.	a person riding a bike	neutral
A blue delivery truck is parked in front of a white building on a street corner.	The truck is parked by it.	neutral
A blue delivery truck is parked in front of a white building on a street corner.	The truck is parked in front of the building.	entailment
The driver of a blue delivery truck is lying down in front of a white building on a street corner.	A person is sleeping.	neutral
The driver of a blue delivery truck is sleeping in front of a white building on a street corner.	A person is sleeping.	entailment
A child wearing black and white gear is sledding down a hill.	A child is sledding in the snow.	entailment
A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.	The child is kneeling in shallow water.	entailment
A person wearing black and white gear is sledding down a hill.	A child is sledding in the snow.	neutral
A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.	The child is hungry.	neutral
A person is lifting a bucking animal.	A person is lifting a animal in front of a crowd.	neutral
A person is lifting a bucking animal in front of a crowd.	A person is lifting a animal in front of a crowd.	entailment
A person is riding a bucking animal in front of a crowd.	A person is riding an animal in front of a crowd at night.	neutral
A person is riding a bucking animal in front of a crowd.	A person is riding an animal in front of a crowd.	entailment
A man is jumping off the grass into the fire while holding onto a giant white balloon.	The man leapt to safety without letting go of his balloon.	contradiction
A man is jumping off the grass while holding onto a giant white balloon.	The man slept while holding his balloon.	contradiction
A man is jumping off the grass while holding onto a giant white balloon.	The man leapt while holding his balloon.	entailment
A man is jumping off the grass safely while holding onto a giant white balloon.	The man leapt to safety without letting go of his balloon.	entailment
A girl in purple doing the long jump at a track event.	The girl competes in shot-put.	contradiction
A girl in purple doing the long jump at a track event.	The girl represents her high school at the track event.	neutral
A girl in purple doing the hurdles at a track event.	The girl competing in the long jump.	contradiction
A girl in purple is competing at a track event.	The girl competing in the long jump.	neutral
A man walks through a pathway.	A man walks through the hallway.	contradiction
A man runs through a forest. 	A man walks through the pathway	contradiction
A man walks through a pathway.	A man walks through the narrow pathway.	neutral
A man walks between buildings.	A man walks through the pathway	neutral
A guy is practicing his kicks on a punching bag in the gym.	A man is not punching but kicking a punching bag.	entailment
A guy is practicing his kicks on a punching bag in the gym.	A kickboxer is training for his fight.	neutral
A guy is practicing on a punching bag at his home because there is none at the gym. 	There is no punching bag in the gym.	entailment
A guy is practicing at the gym. 	There is no punching bag in the gym.	neutral
A couple of men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.	the men in the ring are dressed as cowboys and are very happy	entailment
Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.	Two men are sitting in a rodeo ring	contradiction
Two men, one with suits and ties are standing in a rodeo ring while some men look on from outside the ring.	the men in the ring are dressed as cowboys and are very happy	contradiction
Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.	Two men are standing in a rodeo ring	entailment
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store."	A girl is window shopping.	contradiction
"A boy stands outside of ""TheFaceShop"" looking inside, while a man leans against the corner of the store."	A boy is window shopping.	neutral
"A boy stands outside of ""TheFaceShop"" looking at a poster, while a man leans against the corner of the store."	A boy is window shopping.	contradiction
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store."	A boy is window shopping for an Ipad.	neutral
Two women in a whirlpool with towels on the heads laughing joyfully.	Two sad women in a whirlpool with towels on the heads laughing.	contradiction
Two women in a whirlpool with towels on the heads laughing.	The women had towels on their head.	entailment
Two women in a whirlpool with towels on the heads laughing despite their sadness.	Two sad women in a whirlpool with towels on the heads laughing.	entailment
Two women in a whirlpool with towels on the heads laughing.	There was only one woman in the whirlpool.	contradiction
A middle-aged woman ironing in a messy room.	A woman sleeping in a messy room.	contradiction
A middle-aged man ironing in a messy room.	A woman ironing in a messy room.	contradiction
A middle-aged person ironing in a messy room.	A woman ironing in a messy room.	neutral
A middle-aged woman ironing in a messy room.	A woman ironing in a messy living room.	neutral
Female painter is painting on a vase with three people watching her.	People are watching a female painter paint on a vase.	entailment
A famous female painter is performing art with three people watching her.	A woman is carving a sculpture.	neutral
Female painter is creating a sculpture with three people watching her.	A woman is carving a sculpture.	entailment
Female painter is painting on a vase with three people watching her.	A female painter is painting flowers on a vase.	neutral
Food is being served outside of a stadium.	Vending is inside the stadium.	contradiction
Food is being served outside of a stadium.	There is food vending.	neutral
Food is being served outside of a  hut.	Vending near large building.	contradiction
Food is being served outside.	Vending near large building.	neutral
A man holding a newborn baby.	A man holds a baby.	entailment
A man holding a man.	A man is holding his wife.	neutral
A man holding his newly wed wife.	A man is holding his wife.	entailment
A man holding a newborn baby.	The man is holding his first newborn baby.	neutral
hockey match with couple of men cheering	The hockey game is drawing to a close and the frustrations boiled over into a fight.	contradiction
hockey match with two guys fighting	The hockey game frustrations boiled over into a fight.	entailment
hockey match in last quarter with a couple of men fighting	The hockey game is drawing to a close and the frustrations boiled over into a fight.	entailment
hockey match with two guys fighting	The hockey game is drawing to a close and the frustrations didn't boil over into a fight.	contradiction
Three young men singing in front of a semi-circled crowd.	Three young men are singing in front of a crowd.	entailment
Three young friends singing in front of a semi-circled crowd.	Three young men are singing in front of a crowd.	neutral
Three younger men dancing in front of a semi-circled crowd.	Three young men are performing in front of a crowd.	entailment
Three younger men dancing in front of a semi-circled crowd.	Three young men are performing for money in front of a crowd.	neutral
The opposing basketball player is making a hook shot over the defender.	The opposing basketball player is not attempting to score.	contradiction
The opposing tall basketball player is making a hook shot over the defender.	The opposing basketball player is attempting to score	neutral
The opposing baseball player is making a pitch over the catcher.	The opposing basketball player is attempting to score	contradiction
The opposing basketball player is making a hook shot over the defender.	The opposing basketball player is attempting to score to win the game.	neutral
Men at opposite ends of a streetcar, waiting.	there are some people outside in this picture	neutral
Men at opposite ends of the street waiting to cross.	there are some people inside in this picture	contradiction
Men at opposite ends of the street waiting to cross.	there are some people outside in this picture at the crosswalk.	neutral
Men at opposite ends of a store waiting to check out.	there are some people outside in this picture	contradiction
Two crying men in safety hats and masks sorting through soiled rags at a factory.	Two sad men in safety hats and masks sorting through soiled rags at a factory.	entailment
Two men in safety hats and masks sorting through soiled rags at a factory.	Two men without safety hats or masks are sorting through soiled rags at a factory.	contradiction
Two men in safety hats and masks sorting through clean rags at a factory.	Two sad men in safety hats and masks sorting through soiled rags at a factory.	contradiction
Two men in safety hats and masks sorting through soiled rags at a factory.	Two men in safety hats and masks are sorting through soiled rags at a factory.	entailment
A woman in a white tank top brushes her hair from her eyes as she looks at the man in the gray shirt.	Two people are having a conversation.	neutral
A woman in a white tank top brushes her hair from her eyes as she looks in the mirror.	Two people are having a conversation.	contradiction
A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.	Two people are having a fun conversation.	neutral
A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.	Two people are having a fight.	contradiction
a woman cleaning pots in a body of water.	A woman has pots that are wet.	entailment
a woman cleaning pots in water as her young son washes berries in the stream.	boy washing fruit in a stream	entailment
a woman cleaning pots in a body of water.	A woman cleans pots in a stream.	neutral
a woman cleaning pots in a body of water as her son washes produce nearby.	boy washing fruit in a stream	neutral
A large black gorilla peers down at a group of people from above while the peer inside his enclosure from below.	The gorilla is above the young people.	neutral
A large black gorilla peers down at a group of old people from above while the peer inside his enclosure from below.	The gorilla is above the young people.	contradiction
A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.	The gorilla is below the young people.	contradiction
A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from below.	The gorilla is above the young students.	neutral
People are walking together.	People are outdoors.	neutral
People are walking down a flight of stairs in the building.	People are outdoors.	contradiction
People are walking down a grassy hill with a fence behind them.	People are indoors.	contradiction
People are walking down a grassy hill with a fence behind them.	People are happy.	neutral
People shopping inside a clothing store.	People buying produce in an outdoor market	contradiction
People shopping in an open market.	People buying produce in an outdoor market	neutral
People shopping in an open produce market.	People are shopping in a mall.	contradiction
People shopping in an open produce market.	People are buying items outside.	neutral
Man in plaid shirt scaling rocks.	A blind man is scaling rocks.	neutral
Man in plaid shirt scaling snowy rocks by a woman using poles.	A woman is skiing.	neutral
Man in plaid shirt scaling rocks.	A man is scaling rocks.	entailment
Man in plaid shirt scaling snowy rocks by a woman using skis.	A woman is skiing.	entailment
A young boy in pajamas tosses a red ball in the air.	A youngster with a ball.	entailment
A young boy walks on the road.	A little kid walks to school.	neutral
A young boy walks to school	A little kid walks to school.	entailment
A young boy in pajamas tosses a red ball in the air.	A little kid is happy.	neutral
Two men are standing outdoors on a sunny day holding pieces of a new item, possibly a small grill, while one of the men studies the assembly instructions.	Two men are standing in the rain.	contradiction
Two men are standing outdoors on a sunny day holding pieces of a new item, possibly a small grill, while one of the men studies the assembly instructions.	Two men are standing in the sun.	entailment
Two men are standing indoors on a cold day, holding pieces of a new item, possibly a grill, while one studies the instructions for assembly.	Two men are getting ready for a cookout.	contradiction
Two men are standing outdoors on a sunny day holding pieces of a small grill, while one of the men studies the assembly instructions, to prepare a barbeque.	Two men are getting ready for a cookout.	entailment
A woman standing next to a car in the street speaking to the driver.	A blonde woman is standing.	neutral
A woman standing next to a car in the street speaking to the driver.	A woman is standing.	entailment
A man standing next to a car in the street speaking to the driver.	A male watching football on TV.	neutral
A man is standing next to a couch in the room while watching football.	A male watching football on TV.	entailment
three children are watching a movie.	Animals are watching a movie.	contradiction
three children are watching the news.	Humans watching a movie.	contradiction
three children are watching tv.	Humans watching a movie.	neutral
three children are watching a movie.	Brothers are watching a movie.	neutral
A person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a skateboard.	A person has on a helmet, a shirt, and is outside using a bicycle.	contradiction
A person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a scooter.	A person has on a helmet, a shirt, and is outside using a skateboard.	contradiction
A person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a skateboard.	A person has on a helmet, a yellow shirt, and is outside using a skateboard.	neutral
A tall person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a skateboard.	A person has on a helmet, a shirt, and is outside using a skateboard.	neutral
A group of boys sits and two are smiling while one makes a face. 	Three boys sitting near the sidewalk.	neutral
Only one boy sits near the sidewalk, and he is smiling. 	Three boys sitting near the sidewalk.	contradiction
A group of boys sits near the sidewalk and two are smiling while one makes a face.	Four boys are standing at the boardwalk.	contradiction
A group of boys sits near the sidewalk and two are smiling while one makes a face.	Three boys are sitting.	neutral
People with their back to the camera walk down a wide alley.	The people are walking through a passageway.	entailment
People with their back to the camera walk down a desert.	The people are walking through a desert.	entailment
People with their back to the camera walk down into the wilderness.	The people are walking through a desert.	neutral
People with their back to the camera walk down a wide alley.	The people are walking through a city.	neutral
A group of short high school students are outside a building.	Nobdoy is waiting	neutral
A group of high school students are waiting outside a building to be admitted to class.	Students are waiting.	entailment
A group of high school students are entering a building to be admitted to class.	Nobdoy is waiting	entailment
A group of high school students are waiting outside a building to be admitted to class.	Nobody is sitting.	neutral
A man in a striped sweater reads a small rectangular chalkboard.	A man writes.	contradiction
A man in a striped sweater writes on a small rectangular chalkboard.	A man jogs.	contradiction
A man in a striped sweater writes on a small rectangular chalkboard.	A man appears to use a pen.	neutral
A man in a striped sweater with chalk explains on a small rectangular chalkboard.	A man writes.	neutral
An African American boy jumps towards the hoop with the basketball.	A boy plays basketball.	entailment
An African American boy jumps over boxes at a track.	A boy does a long jump.	neutral
An African American boy jumps over boxes at a track.	A boy jumps at a track.	entailment
An African American boy jumps in the game.	A boy plays basketball.	neutral
A woman in blue jeans and a navy shirt bends over to attach a video camera to a deck.	A man attaches a video camera to a deck.	contradiction
A woman in blue jeans and a navy shirt bends over to fetch the guacamole to eat.	The woman is preparing to shoot a video.	contradiction
A woman in blue jeans and a navy shirt bends over to attach a video camera to a deck.	The woman is preparing to shoot a video.	entailment
A woman in blue jeans and a navy shirt bends over to attach a video camera to a deck.	A woman attaches a video camera to a deck.	entailment
A man in a black shirt plays the guitar surrounded by drinks.	No one is playing the guitar.	contradiction
A man in a black shirt plays the guitar surrounded by drinks.	The man is playing the guitar	entailment
A man in a black shirt plays the guitar horribly surrounded by drinks. 	The man is skilled at playing	contradiction
A man in a black shirt plays the guitar surrounded by drinks.	The man is skilled at playing	entailment
A woman scantily dressed in a tribal green and blue costume dances in a parade while onlookers watch.	A woman is dancing in a studio.	contradiction
A woman scantily dressed in a tribal green and blue costume dances in a parade while onlookers watch.	A woman is dancing in a holiday parade.	neutral
A woman scantily dressed in a tribal green and blue costume dances while onlookers watch.	A woman is dancing in a parade.	neutral
A woman scantily dressed in a tribal green and blue costume dances in a Broadway musical while onlookers watch.	A woman is dancing in a parade.	contradiction
